Hedysarum xizangensis	西藏岩黄芪
Chaceon manningi	曼宁查氏蟹
Begonia cathayana	花叶秋海棠
Chiroleptes platycephalus	平头翼蟾
Syntypistis nigribasalis	黑基胯舟蛾
Tropidia nanhuae	南北竹茎兰
Amaranthus viridis	皱果苋
Cinnamomum camphora	樟
Phyllodoce fristedti	长丝叶须虫
Dentinephtys glabra	圆锯齿吻沙蚕
Colibri serrirostris	白腹紫耳蜂鸟;白肛紫耳蜂鸟
Wallichia disticha	二列瓦理棕
Frullania orientaris	东方耳叶苔
Lilium brownii	野百合;百合
Phyllotis xanthopygus	黄叶耳鼠
Citrus maxima cv. Wanbei	晚白柚
Eleutherodactylus riveti	里维特卵齿蟾
Adenophora stricta	无柄沙参;沙参;川西沙参;昆明沙参
Swertia nervosa	叶脉獐牙菜
Protohermes zhuae	朱氏星齿蛉
Clematis fengii	国楣铁线莲
Saxifraga pardanthina	豹纹虎耳草
Tautoga onitis	虫毫隆头鱼
Salix scopulicola	岩壁垫柳
Chondrostoma vardarense	南斯拉夫软口鱼
Rana chevronta	峰斑蛙;峰斑林蛙
Cautleya spicata	红苞距药姜
Lycoris radiata	石蒜
Bothrops lichenosus	地衣矛头蝮
Channallabes apus	鳝胡鲇
Amomum austrosinense	三叶豆蔻
Parnara guttata subsp. guttata	直纹稻弄蝶指名亚种
Citrus aurantium cv. Goutoucheng	枸头橙
Catochrysops panormus	淡青长尾波纹小灰蝶;蓝咖灰蝶;青珈波灰蝶
Salvia kiangsiensis	关公须
Parapercis pulchella	美拟鲈
Vireo pheladelphicus	费城绿鹃
Galbula ruficauda	棕尾鹟鴷
Hexechamaesipho pilsbryi	皮氏六板小藤壶
Quercus franchetii	锥连栎
Sympholis lippiens	铰蛇
Geranium pseudosibiricum	蓝花老鹳草
Lindernia anagallis	长蒴母草
Isodon muliensis	木里香茶菜
Inia geoffrensis	亚马孙河豚
Justitia chani	陈氏正龙虾
Stephania japonica	千金藤
Dendrobium capillipes	短棒石斛
Charmosyna placentis	红肋吸蜜鹦鹉
Abelia serrata	黄花六道木
Ariadna lateralis	侧坦蛛
Turdoides gularis	白喉鸫鹛
Elatostema paracuminatum	拟渐尖楼梯
Fagopyrum statice	长柄野荞麦
Plagiothecium cavifolium f. otii	圆条棉藓长角变型
Cottus gobio	杜父鱼
Eleutherodactylus diastema	隙裂卵齿蟾
Gisekia pierrei	多雄蕊吉粟草
Trimeresurus monticola zayuensis Jiang	山烙铁头察隅亚种
Scincella formosa	美丽滑蜥
Uncaria laevigata	平滑钩藤
Cercopithecus campbelli	坎氏长尾猴
Saussurea sclerolepis	卷苞风毛菊
Passer montanus subsp. montanus	麻雀
Hyla punctatissima	麻斑雨蛙
Distylium elaeagnoides	鳞毛蚊母树
Elatostema monandrum	异叶楼梯草
Populus ×gansuensis	二白杨
Fringilla coelebs	苍头燕雀
Litoria sanguinolenta	血红雨滨蛙
Dendrelaphis gorei	喜山过树蛇;喜山树蛇
Trianguloscalpellum regium	钦定三角铠茗荷
Hedera rhombea var. formosana	台湾菱叶常春藤
Hesionides arenaria	沙巢海女虫
Artemisia mattfeldii	无绒粘毛蒿;粘毛蒿
Plumbagella micrantha	鸡娃草
Salix atopantha var. pedicellata	长柄奇花柳
Mathildella serrata	锯齿杯蟹
Pipistrellus societatis	社伏翼
Neptis hylas subsp. luculenta	中环蛱蝶台湾亚种
Calandrella raytal	恒河沙百灵
Euphorbia serpens	匍根大戟
Cyrtomnium hymenophylloides	蕨叶曲灯藓
Melampitta gigantea	巨黑脚鸫
Pterospermum truncatolobatum	截裂翅子树
Mendoza pulchra	美丽门道蛛
Synchiropus splendidus	花斑连鳍䲗
Agrostis sinocontracta	紧序剪股颖
Aster ageratoides var. leiophyllus	三脉紫菀光叶变种
Corispermum heptapotamicum	中亚虫实
Balanus pulchellus	美丽藤壶
Ilex confertiflora	密花冬青;广西密花冬青
Tarennoidea wallichii	岭罗麦
Uropeltis broughami	南印针尾蛇
Opsaridium leleupi	勒氏马口波鱼
Tylototriton taliangensis	大凉疣螈
Amomum yingjiangense	盈江砂仁
Rusa unicolor	水鹿
Tetragnatha nandan	南丹肖蛸
Cephalorhynchus commersonii	黑白海豚
Cryptolepis sinensis	白叶藤
Ophiopogon sylvicola	林生沿阶草
Aecidium metaplexis	萝藦春孢锈
Fissidens grandifrons	大叶凤尾藓
Caragana turkestanica	新疆锦鸡儿
Enicurus maculatus	斑背燕尾
Discocheilus multilepis	多鳞盘唇鱼
Astragalus nobilis	钝叶华贵黄耆
Michelia macclurei	醉香含笑
Acris crepitans blanchardi Harper	北蝗蛙布兰亚种
Taphozous nudiventris	裸腹墓蝠
Liotina varicose	隆肋胀脉螺
Knodus dorsomaculatus	背斑诺德脂鲤
Bothrops jararaca	美洲矛头蝮
Polionemobius annulicornis	环角灰针蟋
Knodus geryi	格氏诺德脂鲤
Hasarius dactyloides	指状哈沙蛛
Acnodon oligacanthus	寡棘尖锯脂鲤
Oenothera parviflora	小花月见草
Cremastra unguiculata	斑叶杜鹃兰
Aegithalos iouschistos	黑眉(长尾)山雀;黑头长尾山雀;棕额长尾山雀
Roeboides bouchellei	布希突颌脂鲤
Teratophyllum hainanense	海南符藤蕨
Celastrus rugosus	皱叶南蛇藤
Colopus wahlbergii Peters	非洲无爪虎
Pedicularis triangularidens var. angustiloba	三角齿马先蒿狭裂变种
Hipposideros marisae	玛丽萨蹄蝠;几内亚蹄蝠
Tyto novaehollandiae	大草鸮
Crinocraspeda torrida	金黄枯叶蛾
Thalamita spinicarpa	刺腕短桨蟹
Monticola cinclorhynchus (Vigors,)	蓝头矶鸫
Castanopsis mekongensis	湄公锥
Brassica nigra	黑芥
Cynanthus latirostris	阔嘴蜂鸟
Agamura femoralis	卡兰尾虎
Carduelis spinus (Linnaeus,)	黄雀
Primula forrestii	灰岩皱叶报春
Rubus sumatranus	红腺悬钩子
Crocodylus niloticus Laurenti	尼罗鳄
Apristurus microps	小眼光尾鲨
Hippocampus kuda Bleeker	管海马
Chimonobambusa leishanensis	雷山方竹
Fugu rubripes	河豚;红鳍东方鲀
Lacustricola matthesi	马氏湖栖花鳉
Rhododendron protistum var. giganteum	大树杜鹃
Pseudis p.caribensis	
Tyttobrycon dorsimaculatus	背斑泰托啮脂鲤
Lasianthus schmidtii	泰北粗叶木
Gonocarpus chinensis	黄花小二仙草
Habenaria plurifoliata	莲座玉凤花
Allium caeruleum	棱叶薤
Ternstroemia conicocarpa	锥果厚皮香
Andropadus tephrolaemus	灰喉锯齿鹎
Hiatella flaccida	褐色缝栖蛤
Taihangia rupestris	太行花;缘毛太行花
Amolops daiyunensis	戴云湍蛙
Senecio nemorensis	林荫千里光
Loddigesia mirabillis	叉拍尾蜂鸟
Phelsuma andamanensis Blyth	安达曼残趾虎
Thyone spinifera	尖塔赛瓜参
Syringa komarowii	西蜀丁香;垂丝丁香
Begonia hongkongensis	香港秋海棠
Synotis wallichii	合耳菊
Oxytropis nangqianensis	囊谦棘豆
Onosma gmelinii	黄花滇紫草
Cacomantis heinrichi	海因氏丛杜鹃
Chelydra rossignonii	罗氏鳄龟
Nectarinia comorensis	昂儒昂花蜜鸟
Megokris pescadoreensis	澎湖大突虾
Plectorhycha lanceolata	纵纹吸蜜鸟
Asterophrys minima Parker	丝星蛙
Delphinium angustirhombicum	狭菱形翠雀花
Meconopsis quintuplinervia var. glabra	光果五脉绿绒蒿
Lythrurus umbratilis	蛰居美洲石鱥
Pinus squamata	巧家五针松
Spergularia diandra	二蕊拟漆姑
Pseudecheneis paviei	平吻褶鮡
Puccinia psammochloae	沙鞭柄锈菌
Trollius yunnanensis var. eupetalus	长瓣云南金莲花
Dicranodontium decipiens	拟青毛藓
Acetabularia parvula	极小伞藻
Gentiana simulatrix	厚边龙胆
Lobocla liliana subsp. liliana	黄带弄蝶指名亚种
Calaxiopsis serrata	锯齿木阿蛄虾
Nannophrys c.ceylonensis Guenther	斯里兰卡儒蛙指名亚种
Anas melleri	麻斑鸭
Melanoseris likiangensis	丽江毛鳞菊
Thomisus onustus	满蟹蛛
Rapala scintilla subsp. scintilla	火花燕灰蝶指名亚种
Heteroscyphus coalitus	双齿异萼苔
Amphibolurus inermis	网纹髭蜥
Coracina panayensis	白翅鹃(贝鸟)
Sasa hubeiensis	湖北华箬竹
Grallaria nuchalis	栗颈蚁八色鸫
Pelochelys bibroni	鼋
Alpheus collumianus	柱脊鼓虾
Nyctalus azoreum	亚岛山蝠
Glyptothorax interspinalum	间棘纹胸鮡
Hyperolius bockii	博克非洲树蛙
Ziziphus rugosa	皱枣
Reaumuria alternifolia	互叶红砂
Astragalus wolungensis	卧龙黄芪
Rana palustris Le Conte	泽鱼蛙
Leptolejeunea latifolia	阔叶薄鳞苔
Pimpinella kingdon-wardii	德钦茴芹
Tibetia yadongensis	亚东高山豆
Lethe monilifera	珠连黛眼蝶
Bufo nelsoni Stejneger	纳氏蟾蜍
Phyllostachys nuda cv. Localis	紫蒲头灰竹
Aster setchuenensis	四川紫菀
Gammaropsis laevipalmata	平掌拟钩虾
Cacicus holosericeus	黄嘴酋长鸟
Cantellius sinensis	华离板藤壶
Emblema guttata	斑肋火尾雀
Primula scapigera	葶花脆蒴报春
Ptilinopus wallacii	金肩果鸠
Eleutherodactylus ventrilineatus	腹线卵齿蟾
Haplophyllum dauricum	北芸香
Piper boehmeriifolium	光茎胡椒;苎叶蒟
Clematis sibirica	半钟铁线莲;西伯利亚铁线莲
Rhacophorus poecilonotus	杂色树蛙
Mosla exfoliata	无叶荠苎
Lunathyrium nanchuanense	南川蛾眉蕨
Carcharhinus brevipinna	真齿真鲨
Girardinus falcatus	镰形吉拉德食蚊鱼
Xenerpestes minlosi	双斑灰尾雀
Populus amurensis	黑龙江杨
Ophiophthalmus relictus	鼓盘裸盾蛇尾
Gomphostemma microdon	小齿锥花
Ducula basilica	棕腹皇鸠
Sphaerotheca polemonii	花葱单囊壳
Nibea japonicaTemminck et Schlegel	日本黄姑鱼
Cyclogramma leveillei	狭基钩毛蕨
Toxostoma montanus	高山矢嘲鸫
Synthliboramphus antiquus	扁嘴海雀;海雀
Staurois granulosus Liu et Hu	棘皮湍蛙
Rosa henryi	软条七蔷薇
Lecithocera metacausta	南方平祝蛾
Cardamine calthifolia	驴蹄碎米荠
Lithocarpus cyrtocarpus	鱼篮柯
Uromys imperator	托氏裸尾鼠
Eremopterix nigriceps	黑顶雀百灵
Tropidinius zonatus	横带花笛鲷
Aletris yaanica	雅安粉条儿菜
Caragana microphylla var. potaninii	五台锦鸡儿
Vicugna pacos	羊驼
Maackia taiwanensis	台湾马鞍树
Zingiber longiglande	长腺姜
Kalochelidon euchrysea	金燕
Balanophora japonica	日本蛇菰
Lepidopygopsis typus	美臀鱼
Mycalesis marginata	缘眉眼蝶
Picrocerus armatus	武装苦蟹
Pavetta scabrifolia	糙叶大沙叶
Pleione forrestii	黄花独蒜兰
Aulacorhynchus prasinus	绿宝小(妥鸟)(空鸟)
Discherodontus parvus	小四须魮
Scomberomorus commersonLacepede	康氏马鲛
Loxogramme duclouxii	褐柄剑蕨
Crax mitu	大刀嘴凤冠雉
Lethrinus xanthochilus	黄唇裸颊鲷
Cirsium glabrifolium	无毛蓟
Numenius phaeopus	中杓鹬
Notiochelidon cyanoleuca	蓝白南燕
Impatiens compta	顶喙凤仙花
Wallago attu	叉尾鲇
Dryopteris alpestris	多雄拉鳞毛蕨
Anthidium lituratum	富黄斑蜂肩
Pentaceraster sibogae	锡博疣海星
Lejeunea punctiformis	斑叶细鳞苔
Neptis antilope subsp. antilope	羚环蛱蝶指名亚种
Balantiocheilus hekouensis Wu	袋唇鱼
Inquisitor varicosa	杂色裁判螺
Oeneis buddha	菩萨酒眼蝶
Dendrocopos medius	中斑啄木
Crawfurdia semialata	直立蔓龙胆
Batrachupterus gorganensis Clergue-Cazeau et Thorn	古尔日山溪鲵
Cyrtonyx montezumae	彩鹑
Rhinopoma muscatellum	阿曼鼠尾蝠;鼠尾蝠
Hylocharis leucotis	白耳红嘴蜂鸟
Capillogryllus exilipalpis	细须毛蟋
Nessia layardi	无肢锡岛蜥
Urocystis granulosa	颗粒条黑粉菌
Philodromus auricomus	耳斑逍遥蛛
Aconitum barbatum	西伯利亚乌头;细叶黄乌头;牛扁
Dercas nina forma spaneyi	橙翅方粉蝶广边型
Urocystis colchici	玉竹条黑粉菌
Arctous alpinus	北极果
Aporia gigantea subsp. cheni	巨绢粉蝶台湾亚种
Erythrura cyanovirens	红头鹦雀
Briza maxima	大凌风草
Cleisostoma birmanicum	美花隔距兰
Dolichopus martynovi	马氏长足虻
Argiope aetheroides	类高居金蛛
Dennstaedtia leptophylla	薄叶碗蕨
Artemisia phaeolepis	褐苞蒿
Puccinia infra-aequatorialis	腰下孔柄锈菌
Gymnospermium microrrhynchum	牡丹草
Chrysanthemum lavandulifolium	甘菊稳舌甘菊变种;甘菊;甘菊毛叶甘菊变种
Palaemon guangdongensis	广东长臂虾
Asplenium adiantum-nigrum var. yuanum	黑色铁角蕨
Allomorphia setosa	刺毛异形木
Chromis retrofasciatus	黑带光鳃鱼
Syntypistis victor	胜胯舟蛾
Emberiza pallasi (Cabanis,)	苇鹀
Fimbristylis diphylloides	黄鳞二叶飘拂草;拟二叶飘拂草
Micrurus alleni	艾氏珊瑚蛇
Dictyna foliicola	黑斑卷叶蛛
Rubus howii	裂叶悬钩子
Pogonogobius planifrons	须鰕虎鱼
Lithocarpus obscurus	墨脱柯
Cremanthodium campanulatum	黄苞垂头菊;钟花垂头菊;短毛钟花垂头菊
Glycine max	大豆
Callicebus donacophilus	玻利维亚伶猴;芦苇伶猴
Anaphalis flavescens	淡黄香青;淡黄香青棉毛变种;太白淡黄香青
Cathartes aura	红头美洲鹫
Ypthima tappana subsp. tappana	大波矍眼蝶指名亚种
Streptopus parviflorus	小花扭柄花
Isodon ternifolius	牛尾草
Camellia pilosperma	毛籽短蕊茶
Puccinia caricis-lingii	林氏苔草柄锈菌
Sinocyclocheilus macrocephalus	大头金线鲃;大头金线魮
Lysimachia lichiangensis	干生珍珠菜;丽江珍珠菜
Fritillaria unibracteata var. longinectarea	长腺贝母
Liagora filiformis	纤细粉枝藻
Menemerus bivittatus	双带扁蝇虎
Mahathaio ameria subsp. hainani	玛灰蝶海南亚种
Tilia oliveri	灰背椴;鄂椴
Dascyllus marginatus	灰边宅泥鱼
Percnon guinotae	单刺盾牌蟹
Sphaerodactylus beattyi Grant	维尔京球趾虎
Hercostomus albidipes	白足寡长足虻
Oxyopes striagatus	条纹猫蛛
Hemidactylus tanganicus Loveridge	坦噶尼喀蜥虎
Phenacogaster carteri	卡特平腹脂鲤
Macrodiplophyllum pilcatum	大褶叶苔
Centrolenella divaricans	二变小跗蛙
Sinephropteris delavayi	水鳖蕨
Serrapinnus micropterus	小鳍锯翼脂鲤
Hedychium villosum var. tenuiflorum	小毛姜花
Alcippe cinereiceps subsp. guttaticollis	褐头雀鹛
Rana fragilis Liu et Hu	脆皮蛙
Artipe eryx subsp. eryx	绿灰蝶指名亚种
Systropus dashahensis	大沙河姬蜂虻
Adinandra megaphylla	大叶杨桐
Anacardium occidentale	腰果
Viscum liquidambaricola	枫香槲寄生
Phaenicophaeus viridirostris	绿脸地鹃
Scrophularia umbrosa	翅茎玄参
Staphyulaea nucleus	疣葡萄贝
Cophixalus concinnus	优美掘蛙
Nemacheilus shuangjiangensis	双江条鳅
Chrysopetalum ehlersi	易氏金扇虫
Ingerana medogensis	墨脱舌突蛙
Vidua fischeri	菲切氏维达鸟
Canthigaster punctatissima	斑条尖鼻鲀
Hapalogenys nitens	斜带髭鲷
Macleaya microcarpa	小果博落回
Barbus unitaeniatus	无纹魮
Cassiope argyrotricha	银毛锦绦花
Athyrium nephrodioides	疏羽蹄盖蕨
Poeciliopsis baenschi	贝氏若花鳉
Parus dichrous subsp. dichroides	褐冠山雀
Mitrospingus cassinii	卡辛氏(黑脸)唐纳雀
Nyctimystes papua	巴布雨夜蛙
Lespedeza inschanica	阴山胡枝子;黄花阴山胡枝子
Oratosquillina nordica	北方小口虾蛄
Coreopsis tinctoria	两色金鸡菊
Ochotona iliensis	伊黎鼠兔;伊犁鼠兔
Microhyla microps	小姬蛙
Oxytropis qitaiensis	奇台棘豆
Arguda decurtata	双线枯叶蛾
Maxomys moi	印尼硬毛鼠
Akera constricta	隘无角螺
Pachypasoides clarilimbata	白缘云枯叶蛾
Acridotheres ginginianus	灰背岸八哥
Ptychobarbus chungtienensis Tsao	中甸叶须鱼
Cotinga maculata	带斑伞鸟
Theloderma stellatum	星斑疣皮蛙
Melita orgasmos	胖马尔他钩虾
Rhamnus arguta	锐齿鼠李;毛背锐齿鼠李
Hypericum uralum	匙萼金丝桃
Aplocheilichthys macrurus	大尾灯鳉
Lumpenus fabricii	北鳚
Oxytate parallela	平行绿蟹蛛
Barbus aliciae	艾丽西亚魮
Opacoptera ecblasta	川隐翅祝蛾
Donax canniformis	竹叶蕉
Catharus aurantiirostris	橙腹夜鸫
Letana grandis	大环露螽
Denisonia ramsayi	兰氏澳太蛇
Ficus vaccinioides	越桔榕
Picoides leucotos	白背啄木鸟
Kengyilia mutica	无芒以礼草
Conothraupis mesoleuca	锥嘴唐纳雀
Populus haoana var. megaphylla	大叶德钦杨
Megachile takoensis subsp. albata	达戈切叶蜂浅毛亚种
Rhododendron oblancifolium	倒矛杜鹃
Celosia argentea	青葙
Besaia alboflavida	黄篦舟蛾
Allium anisopodium var. zimmermannianum	糙葶韭
Ziziphus mauritiana	滇刺枣
Glyceria tonglensis	卵花甜茅
Saussurea colpodes	鞘基风毛菊
Camellia assimiloides	大萼毛蕊茶
Adelomyia melanogenys	点斑蜂鸟;鳞斑蜂鸟
Hypoestes purpurea	枪刀药
Elymus magnipodus	大柄披碱草
Crossorhombus kobensis	长臂缨鲆
Corydalis nubicola	凌云紫堇
Onychostoma brevis Wu et Chen	短身白甲鱼
Xanthias punctatus	斑点近扇蟹
Condylostylus fenestratus	窗毛瘤长足虻
Roystonea oleracea	菜王棕
Calomyscus urartensis	乌拉特丽仓鼠
Osteochilus longidorsalis	长背鳍骨纹唇鱼
Contopus cinereus	热带绿霸鹟
Rosa helenae f. glandulifera	腺叶卵果蔷薇
Crocidura jenkinsi	詹氏麝鼩
Aporia larraldei subsp. nutans	三黄绢粉蝶云南亚种
Berberis sabulicola	砂生小檗
Aconitum legendrei var. albovillosum	低盔冕宁乌头
Nannocampus subosseus	硬头南海龙
Regulus calendula	红玉冠戴菊
Cyclobalanopsis chingsiensis	靖西青冈
Astronesthes chrysophekadion	金星衫鱼
Serrasalmus gibbus	驼背锯脂鲤
Setaria forbesiana	西南莩草;短刺西南莩草
Pernis ptilorhynchusLesson	凤头蜂鹰
Pezopetes capitalis	大脚雀
Aporia crataegi	绢粉蝶
Basileuterus fraseri	灰金王森莺
Anurolimnas castaneiceps	栗头田鸡
Chlorodesmis sinensis	中华绿毛藻
Pipistrellus petersi	彼氏伏翼
Eurynorhynchus pygmeus	勺嘴鹬
Lanius schachLinnaeus	棕背伯劳
Lianghusuchus hengyangensis	衡阳两湖鳄
Drosera rotundifolia	圆叶茅膏菜
Ctenopleura sinicus	中华栉海星
Sterna albifrons	小燕鸥;白额燕鸥
Amathuxidia amythaon	森下交脉环蝶;交脉环蝶
Sageretia lucida	亮叶雀梅藤
Diplacrum reticulatum	网果裂颖茅
Pachliopta aristolochiae	红珠凤蝶;红纹凤蝶
Aetomylaeus milvus	鹰状无刺鲼
Dicrolene quinquarius	五指丝指鼬鳚
Carcharhinus limbatus	侧边真鲨
Habrodon perpusillus	柔齿藓
Lagerstroemia anhuiensis	安徽紫薇
Smilax aberrans	弯梗菝葜
Pedicularis tayloriana	泰氏马先蒿
Doryrhamphus excisus excisus	红海矛吻海龙;黑腹海龙
Lilium leichtlinii	大花卷丹
Petrosimonia glaucescens	灰绿叉毛蓬
Indigofera silvestrii	刺序木蓝
Beilschmiedia shangsiensis	上思琼楠
Epichrysodes tienmuensis	天目黄斑尺蛾
Caridina longirostris	长额米虾
Pentaceros richardsoni Smith	五棘鲷
Dendrocopos major subsp. japonicus	大斑啄木鸟
Coracina fimbriata	缨鹃(贝鸟)
Natsiatum herpeticum	薄核藤
Lethe helle subsp. gregoryi	明带黛眼蝶四川亚种
Microschemobrycon melanotus	黑背小体石脂鲤
Pellorneum ruficeps subsp. oreum	棕头幽鹛
Pudu mephistophiles	北普度鹿
Delphinium kaschgaricum	喀什翠雀花
Glauconome curta	丝光绿螂
Dendrobates leucomelas	黄条丛蛙
Alopecosa spinata	针舞蛛
Dendrobates opisthomelas Boulenger	后丛蛙
Besaia ronkayorum subsp. ronkayorum	荣邻偶舟蛾指名亚种
Larus cachinnans subsp. barabensis	黄腿银鸥
Corvus frugilegus	秃鼻乌鸦;秃鼻鸦
Brycon moorei	莫氏石脂鲤
Rosa chinensis var. semperflorens	紫月季花
Agelaius icterocephalus	黄巾黑鹂
Chrionema chryseres Gilbert	黄斑低线鱼
Calophaca sinica	丽豆
Lonicera tricalysioides	赤水忍冬
Begonia grandis	柔毛中华秋海棠;中华秋海棠;全柱秋海棠;单翅秋海棠;刺毛中华秋海棠;秋海棠
Carpinus glanduloso-punctata	密腺鹅耳枥
Strepera arguta	塔斯(马尼亚)噪钟雀
Oecomys speciosus	灿烂屋鼠
Nerice davidi subsp. davidi	榆白边舟蛾指名亚种
Ambassis urotaenia Bleeker	尾纹双边鱼
Bufo angusticeps	沙蟾蜍
Isodon setschwanensis	四川香茶菜
Bufo marmoreus Wiegmann	理纹蟾蜍
Bufo compactilis	固蟾蜍
Spiraea pubescens var. lasiocarpa	毛果土庄绣线菊
Geranium shensianum	陕西老鹳草
Eurya paratetragonoclada	滇四角柃
Plagiozopelma xishuangbannanum	西双版纳基刺长足虻
Athyrium vidalii var. amabile	松谷蹄盖蕨
Eleutherococcus leucorrhizus var. scaberulus	狭叶藤五加
Corydalis chanbaishanensis	长白山黄堇
Rana miotympanum	中鼓膜蛙
Pellenes denisi	德氏蝇犬蛛
Acmaeopleura parvula	小无齿蟹
Tetrapturus angustirostris	尖吻四鳍旗鱼
Fraxinus hupehensis	湖北梣
Tyttocharax cochui	科氏泰托脂鲤
Astragalus dictamnoides	敌克踏木黄耆
Caberea hataii	羽氏松苔虫
Ranunculus nyalamensis var. angustipetalus	浪卡子毛茛
Polinices aurantius	桔色乳玉螺
Ainsliaea pertyoides	白背兔儿风;腋花兔儿风
Otocryptis wiegmanni	隐耳蜥
Systropus aurantispinus	金刺姬蜂虻
Oplismenus fujianensis	福建竹叶草
Eresus granosus	念珠隆头蛛
Cuculus canorus subsp. subtelephonus	大杜鹃
Toxocarpus patens	广花弓果藤
Coelotes guttatus	瓶形隙蛛
Chiritopsis lobulata	浅裂小花苣苔
Vitiaziella cubiceps Rass	狮鼻鱼
Lithocarpus crassifolius	硬叶柯
Blindia campylopodioides	短胞小穗藓
Pedicularis tongolensis	东俄洛马先蒿
Sorex palustris	沼泽鼩鼱
Calamus egregius	短叶省藤
Trachusa concavum	凹准黄斑蜂
Amblypsilopus flavicercus	黄尾雅长足虻
Angelica paeoniifolia	牡丹叶当归
Saurogobio dabryi	蛇鮈
Gobiobotia pappenheimi Kreyenberg	鳅鮀
Crocidura planiceps	漫游麝鼩
Hydrocera triflora	水角
Deania aciculata	田氏鲨
Eurya jintungensis	景东柃
Oriolus tenuirostris	细嘴黄鹂
Leucanthemum maximum	大滨菊
Neohymenopogon parasiticus	石丁香
